question,teacher_key,student_answer,label_human,type
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.","Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",100,exact
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",Menghasilkan energi ATP.,85,short_correct
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",Saya tidak tahu.,0,wrong
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.","Jantung gunanya untuk memompa darah ke semua badan melalui pembuluh darah, membawa oksigen dan nutrisi.",95,synonym
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.","Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",100,exact
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",Tumbuhan bikin makanan pakai matahari.,85,short_correct
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",Proses pembakaran hutan.,0,wrong
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.","Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",95,synonym
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,100,exact
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Bawa oksigen.,85,short_correct
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Saya tidak tahu.,0,wrong
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,95,synonym
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",100,exact
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri bawa darah dari jantung, Vena ke jantung.",85,short_correct
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",Saya tidak tahu.,0,wrong
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",95,synonym
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,100,exact
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Menghasilkan energi ATP.,85,short_correct
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Saya tidak tahu.,0,wrong
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Mitokondria gunanya sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,95,synonym
